cbsa.code	cbsa.name
35140	"Newberry, SC Micro Area"
35220	"New Castle, IN Micro Area"
35260	"New Castle, PA Micro Area"
35300	"New Haven-Milford, CT Metro Area"
35380	"New Orleans-Metairie, LA Metro Area"
35420	"New Philadelphia-Dover, OH Micro Area"
35440	"Newport, OR Micro Area"
35460	"Newport, TN Micro Area"
35500	"Newton, IA Micro Area"
35580	"New Ulm, MN Micro Area"
35620	"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
35660	"Niles-Benton Harbor, MI Metro Area"
35700	"Nogales, AZ Micro Area"
35740	"Norfolk, NE Micro Area"
35820	"North Platte, NE Micro Area"
35840	"North Port-Sarasota-Bradenton, FL Metro Area"
35860	"North Vernon, IN Micro Area"
35900	"North Wilkesboro, NC Micro Area"
35940	"Norwalk, OH Micro Area"
35980	"Norwich-New London, CT Metro Area"
36020	"Oak Harbor, WA Micro Area"
36100	"Ocala, FL Metro Area"
36140	"Ocean City, NJ Metro Area"
36220	"Odessa, TX Metro Area"
36260	"Ogden-Clearfield, UT Metro Area"
36300	"Ogdensburg-Massena, NY Micro Area"
36340	"Oil City, PA Micro Area"
36380	"Okeechobee, FL Micro Area"
36420	"Oklahoma City, OK Metro Area"
36460	"Olean, NY Micro Area"
36500	"Olympia-Tumwater, WA Metro Area"
36540	"Omaha-Council Bluffs, NE-IA Metro Area"
36580	"Oneonta, NY Micro Area"
36620	"Ontario, OR-ID Micro Area"
36660	"Opelousas, LA Micro Area"
36700	"Orangeburg, SC Micro Area"
36740	"Orlando-Kissimmee-Sanford, FL Metro Area"
36780	"Oshkosh-Neenah, WI Metro Area"
36820	"Oskaloosa, IA Micro Area"
36830	"Othello, WA Micro Area"
36840	"Ottawa, KS Micro Area"
36860	"Ottawa-Peru, IL Micro Area"
36900	"Ottumwa, IA Micro Area"
36940	"Owatonna, MN Micro Area"
36980	"Owensboro, KY Metro Area"
37020	"Owosso, MI Micro Area"
37060	"Oxford, MS Micro Area"
37080	"Oxford, NC Micro Area"
37100	"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
37120	"Ozark, AL Micro Area"
37140	"Paducah, KY-IL Micro Area"
37220	"Pahrump, NV Micro Area"
37260	"Palatka, FL Micro Area"
37300	"Palestine, TX Micro Area"
37340	"Palm Bay-Melbourne-Titusville, FL Metro Area"
37420	"Pampa, TX Micro Area"
37460	"Panama City, FL Metro Area"
37500	"Paragould, AR Micro Area"
37540	"Paris, TN Micro Area"
37580	"Paris, TX Micro Area"
37620	"Parkersburg-Vienna, WV Metro Area"
37660	"Parsons, KS Micro Area"
37740	"Payson, AZ Micro Area"
37780	"Pecos, TX Micro Area"
37860	"Pensacola-Ferry Pass-Brent, FL Metro Area"
37900	"Peoria, IL Metro Area"
37940	"Peru, IN Micro Area"
37980	"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
38060	"Phoenix-Mesa-Scottsdale, AZ Metro Area"
38100	"Picayune, MS Micro Area"
38180	"Pierre, SD Micro Area"
38220	"Pine Bluff, AR Metro Area"
38240	"Pinehurst-Southern Pines, NC Micro Area"
38260	"Pittsburg, KS Micro Area"
38300	"Pittsburgh, PA Metro Area"
38340	"Pittsfield, MA Metro Area"
38380	"Plainview, TX Micro Area"
38420	"Platteville, WI Micro Area"
38460	"Plattsburgh, NY Micro Area"
38500	"Plymouth, IN Micro Area"
38540	"Pocatello, ID Metro Area"
38580	"Point Pleasant, WV-OH Micro Area"
38620	"Ponca City, OK Micro Area"
38660	"Ponce, PR Metro Area"
38700	"Pontiac, IL Micro Area"
38740	"Poplar Bluff, MO Micro Area"
38780	"Portales, NM Micro Area"
38820	"Port Angeles, WA Micro Area"
